timestamp,mode,gps_lat,gps_lon,gps_alt,ekf_lat,ekf_lon,ekf_alt,uncertainty,step_count,pressure_hpa
2026-05-01 16:12:13.973,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.301665146144995,12.610567164270776,0,1015.895546875
2026-05-01 16:12:15.128,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.959518845119813,12.621781773204747,0,1015.191796875
2026-05-01 16:12:16.277,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.851135447322896,12.629332803418373,0,1015.41171875
2026-05-01 16:12:17.419,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.723536506051857,12.634574527301922,0,1015.176484375
2026-05-01 16:12:18.556,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.67954596129641,12.639737455837924,0,1015.49109375
2026-05-01 16:12:19.708,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.735022926086355,12.646746540855808,0,1015.53921875
2026-05-01 16:12:20.861,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.839033414041058,12.655999335797674,0,1015.573828125
2026-05-01 16:12:22.008,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.064014418445566,12.667798342252341,0,1015.42203125
2026-05-01 16:12:23.172,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.024468969855874,12.680859743272062,0,1015.66828125
2026-05-01 16:12:24.335,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.115690884450686,12.694993287908774,0,1016.265390625
2026-05-01 16:12:25.478,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.171339948116753,12.709780163390633,0,1015.6959375
2026-05-01 16:12:26.634,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.240716391263486,12.724340556874234,0,1016.00015625
2026-05-01 16:12:27.787,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.258840130276475,12.736692144056125,0,1016.24625
2026-05-01 16:12:28.940,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.21354499281663,12.744703656756164,0,1015.43921875
2026-05-01 16:12:30.108,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.04388207882624,12.752974635697612,0,1015.49328125
2026-05-01 16:12:31.256,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.137732647452985,12.764292814602932,0,1015.754765625
2026-05-01 16:12:32.418,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.233412189363545,12.77785929254026,0,1015.54078125
2026-05-01 16:12:33.577,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.17411787795396,12.792779573605008,0,1015.39125
2026-05-01 16:12:34.744,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.20576503226182,12.808197615374498,0,1015.67125
2026-05-01 16:12:35.900,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.239271128127818,12.823994398928665,0,1015.54484375
2026-05-01 16:12:37.070,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.281076668509687,12.840006561886817,0,1015.641328125
2026-05-01 16:12:38.209,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.346923522406907,12.856175663341112,0,1015.648828125
2026-05-01 16:12:39.354,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.266157708684375,12.872428013531435,0,1015.5509375
2026-05-01 16:12:40.502,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.259611290341383,12.88891028038313,0,1015.53203125
2026-05-01 16:12:41.685,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.2270336609833,12.905565994251704,0,1015.580078125
2026-05-01 16:12:42.841,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.33989823147495,12.921978659231911,0,1015.78390625
2026-05-01 16:12:43.969,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.42002971974751,12.938338402430785,0,1015.62109375
2026-05-01 16:12:45.116,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.473747833984643,12.954796691356306,0,1015.74625
2026-05-01 16:12:46.253,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.54711916769095,12.971323413053844,0,1015.324921875
2026-05-01 16:12:47.391,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.364857078165837,12.988312492330083,0,1015.557265625
2026-05-01 16:12:48.538,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.361097265439668,13.005578397373602,0,1015.58140625
2026-05-01 16:12:49.671,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.362957733193525,13.023106542979491,0,1015.622265625
